City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Matagami,49.7502,-77.6328,26.71,93,100,4.61,CA,2022-02-17 02:14:26
1,Punta Arenas,-53.15,-70.9167,53.11,58,60,29.42,CL,2022-02-17 02:11:43
2,Ushuaia,-54.8,-68.3,51.46,62,75,8.05,AR,2022-02-17 02:14:12
3,Rikitea,-23.1203,-134.9692,78.28,72,18,12.64,PF,2022-02-17 02:11:34
4,Upernavik,72.7868,-56.1549,-23.93,95,100,7.83,GL,2022-02-17 02:15:44
5,Lebu,-37.6167,-73.65,58.46,78,0,18.95,CL,2022-02-17 02:11:39
6,Baiyin,36.5583,104.2081,29.28,61,100,1.81,CN,2022-02-17 02:15:45
7,Dikson,73.5069,80.5464,-27.26,99,92,4.34,RU,2022-02-17 02:15:45
8,Sidi Ali,36.0998,0.4206,48.92,53,100,7.14,DZ,2022-02-17 02:15:46
9,Fortuna,40.5982,-124.1573,50.94,85,31,3.0,US,2022-02-17 02:12:53
10,Neijiang,29.5835,105.0622,49.12,88,100,4.45,CN,2022-02-17 02:15:46
11,Luderitz,-26.6481,15.1594,73.29,67,40,17.36,NA,2022-02-17 02:11:30
12,Gorin,51.1983,136.6669,8.78,80,79,3.71,RU,2022-02-17 02:15:47
13,Kapaa,22.0752,-159.319,80.58,65,40,14.97,US,2022-02-17 02:11:46
14,Cape Town,-33.9258,18.4232,64.11,69,0,3.0,ZA,2022-02-17 02:07:38
15,Byumba,-1.5763,30.0675,52.0,79,100,2.77,RW,2022-02-17 02:15:48
16,Cayenne,4.9333,-52.3333,79.09,84,100,4.0,GF,2022-02-17 02:15:15
17,Rosendal,59.9867,6.0135,35.74,83,95,4.23,NO,2022-02-17 02:15:48
18,Bredasdorp,-34.5322,20.0403,57.27,67,24,6.67,ZA,2022-02-17 02:12:58
19,Nome,64.5011,-165.4064,-4.59,87,6,7.58,US,2022-02-17 02:14:58
20,Tasiilaq,65.6145,-37.6368,26.76,84,100,17.76,GL,2022-02-17 02:12:06
21,Busselton,-33.65,115.3333,78.04,38,0,10.67,AU,2022-02-17 02:11:26
22,Cherskiy,68.75,161.3,-29.2,97,100,2.75,RU,2022-02-17 02:12:35
23,Dillon,34.4166,-79.3712,59.67,79,76,7.63,US,2022-02-17 02:15:50
24,Belawan,3.7755,98.6832,79.09,82,100,0.36,ID,2022-02-17 02:15:50
25,Jamestown,42.097,-79.2353,51.85,39,100,9.22,US,2022-02-17 02:09:13
26,Saint-Philippe,-21.3585,55.7679,78.39,79,78,13.06,RE,2022-02-17 02:11:33
27,Vaini,-21.2,-175.2,81.66,74,11,9.91,TO,2022-02-17 02:11:37
28,Kallaste,58.655,27.1592,35.92,97,100,20.87,EE,2022-02-17 02:15:51
29,Yellowknife,62.456,-114.3525,-26.59,92,25,5.99,CA,2022-02-17 02:11:53
30,New Norfolk,-42.7826,147.0587,73.65,23,5,9.82,AU,2022-02-17 02:11:57
31,Viru,-8.4167,-78.75,67.3,73,99,3.11,PE,2022-02-17 02:15:52
32,Urucurituba,-2.6833,-57.6667,72.3,96,95,2.3,BR,2022-02-17 02:15:53
33,Mayo,38.8876,-76.5119,51.12,76,75,13.8,US,2022-02-17 02:11:58
34,Laguna,38.421,-121.4238,69.4,33,0,13.8,US,2022-02-17 02:13:56
35,Arraial Do Cabo,-22.9661,-42.0278,75.02,80,2,3.27,BR,2022-02-17 02:11:42
36,Viedma,-40.8135,-62.9967,60.39,51,4,5.57,AR,2022-02-17 02:15:54
37,Sao Joao Da Barra,-21.6403,-41.0511,73.13,88,59,6.35,BR,2022-02-17 02:13:21
38,Qaanaaq,77.484,-69.3632,-26.97,93,99,5.21,GL,2022-02-17 02:11:35
